content#,#sentiment#,#positive#,#negative#,#label
高雄市長補選形成藍綠白三角督局面，候選三人中僅民進黨的陳其邁果斷辭去副閣揆表參選決心，國民黨與民眾黨分別徵召的李眉蓁、吳益政將帶市議員職參選。時代力量黨主席徐永明今日在該黨舉辦的民調記者會上指出，有6成滿意罷韓結果，但在罷韓沒幾天後藍白候選人都要帶職參選，痛批「難道罷韓是白罷嗎？高雄民意這麼清楚，是把高雄市民當白痴嗎？」徐永明今日主持時代力量民調記者會，開場時指出，李眉蓁與吳益政2018年與前高雄市長韓國瑜同時當選，在韓國瑜遭罷免後又要帶職參選高雄市長，質疑「難道罷韓是白罷的嗎？」他指出，根據時代力量公布的最新民調，有超過6成的民眾滿意罷韓結果，結果罷韓結束沒幾天，現在兩位議員卻要帶職參選高雄市長，他忍不住直言砲轟，「高雄民意這麼清楚，是把高雄市民當白痴嗎？」徐永明激問，難道罷韓只是為了把位置空出來讓政治人物去選嗎，認為應該有更深的民主意涵在其中。徐永明批評，民進黨與國民黨都迴避帶職參選的問題，原以為帶職參選的風氣會在2022年會達到高峰，結果竟然在罷韓後就提前發生；韓國瑜最被人詬病的就是帶職選總統，國民黨與民眾黨根本忽略教訓。時代力量臉書稍早也發文質問，國民黨及民眾黨究竟對高雄是不是真心，還是把高雄市民當塑膠或盤子，呼籲兩人登記補選時「即刻辭去高雄市議員職務」，不要「選不上依然繼續爽當議員」。時代力量未來也將在立法院持續推動相關立法、杜絕帶職參選，不要讓選民一再看到政客騎驢找馬的醜陋面貌。另外，時代力量記者會今也公布總統蔡英文與行政院長蘇貞昌的民調，相較4月的民調，蔡蘇2人的滿意度分別下滑了6.6%與6.7%。徐永明以此呼籲中央正視民意，處理高房價議題、帶職參選與外交部名片爭議，民調才能有望回升。政黨支持部分，民進黨以27.3%居冠，時代力量則以26.9%次之，接著依序為國民黨19.1%、民眾黨13.8%、台灣基進11.4%。民調也問到衛福部長陳時中，有高達9成滿意其防疫表現，但問到是否支持他參選市長，同意與不同意各達4成。此次民調是委託趨勢民調針對全國20歲以上民眾，於6月17日至19日以分層比例抽樣方式進行市話調查，共完成1068份有效樣本，在95%信心水準下，抽樣誤差為正負3%。依戶籍、性別、年齡和教育程度進行加權。（民視新聞網／綜合報導）#,#0.1513170398324789#,#1#,#8#,#負面
國民黨高雄市長補選確定徵召高雄市議員李眉蓁參戰，國民黨秘書長李乾龍說明，李眉蓁在民調以及認同度上表現都很好，因此最後決定由李眉蓁對戰民進黨陳其邁。國民黨秘書長李乾龍：「最後我們決定徵召李眉蓁議員來參選補選高雄市的市長。」國民黨高雄補選人選終於確定了，由連任三屆的高雄市議員李眉蓁出線。國民黨秘書長李乾龍：「李眉蓁是我們在所有的民調裡面，他是屬於比較超前的，在各方面的認同感也比較得到社會的認同，所以我們徵召的協調小組最後決定徵召李眉蓁小姐。」國民黨副祕書長李彥秀：「他三屆的市議員她非常有戰力，可塑性也非常高。」登記前一天，參選人才確定李眉蓁，不難發現國民黨找人之路有多崎嶇，多達10多人被在名單中，包含她。高雄已故議長許崑源夫人林絲娛(06.12)：「短短一年多的時間做了這麼多的事。」原本國民黨也鎖定許崑源夫人林絲娛參戰，已經同意徵召卻一夕破局。國民黨秘書長李乾龍：「因為她家庭有的成員，她的小女兒她們家裡面有持反對意見，那我想議長夫人剛好在喪夫之痛，我們不願意增加她的一些負擔。」李眉蓁是高雄市議會的青壯派，韓國瑜任內也經常陪他跑行程。國民黨副祕書長謝龍介：「沒有所謂韓家軍，現在都是國民黨軍。」李眉蓁對戰陳其邁，儘管知名度首要加強，但藍營考慮到李眉蓁父親李榮宗有地方派系整合能力，至少能在補選困境中多點助力。#,#0.9751269078323447#,#4#,#8#,#負面
高雄市長補選8月15日投票，國民黨今天宣布徵召高雄市議員李眉蓁對戰民進黨籍、前行政院副院長陳其邁；國民黨表示，李眉蓁出線主因是黨內民調超前、年輕爆發力強、社會認同感較高。明天是高雄市長補選登記參選的最後一天，國民黨秘書長李乾龍、副秘書長李彥秀、謝龍介今天下午召開記者會表示，根據高雄市黨部協調出將近10名人選，由協調小組一一徵詢後，最後決定徵召李眉蓁參選。李乾龍說，他們當初就是要找高雄在地、年輕的人參選，不侷限議員，因此各界人士都有被徵詢過。他表示，李眉蓁的出線是綜合考量的結果，主要是在黨內互比民調中，雖然大家的實力非常接近，互有領先，但李眉蓁的支持度最平均；李眉蓁在中間選民、年輕選民的爆發力較高，且各區域以及教育程度的支持度也更平均。李乾龍指出，民調顯示，李眉蓁最需要補強的是部分區域的知名度，這一點需要其他高雄市議員大力幫忙，唯有團結一致，才能與民進黨抗衡。他說，高雄市民在2018年已用選票拒絕陳其邁，這次補選是高雄市民展現「拒絕回收陳其邁」的意志。外傳國民黨原本鎖定已故高雄市議長許崑源妻子林絲娛參加補選，李乾龍表示，林絲娛也是徵詢對象之一，林絲娛曾經表示願意承擔，但因家庭成員、小女兒持反對意見，且林絲娛仍在喪夫之痛，不願增加她的負擔，後來就沒有繼續徵詢，「我們不忍心。」媒體詢問，李眉蓁父親與前高雄市長韓國瑜友好，是否擔心被貼上「韓家軍」標籤，謝龍介說，被徵詢的人每個都跟韓國瑜很好，韓國瑜的市政成績也有目共睹，未來團隊將主打這一年半的政績，「沒有什麼韓家軍，大家都是國民黨軍。」今日最夯新聞流量前3名一腳踩空 國小女主任墜樓身亡僅6天「罷免陳致中」一階達標上任1千天 公司市值飆破9千億今日推薦影音#,#0.14383481557391686#,#1#,#9#,#負面
高雄市長補選8月15日登場，國民黨確定要徵召現任高雄市議員李眉蓁。高雄市長參選人李眉蓁今天下午6時30分在高雄市黨部一樓舉行記者會，她在會上表示，這次會打一場不一樣的選戰，希望高雄人給新世代機會，「一起努力一定會再產生一個高雄的政治奇蹟」。李眉蓁首先提到，她剛才正式接到中央黨部通知，「很高興身為國民黨在40年以來，第一次提名在地的候選人」。李眉蓁指出，在國民黨最危機的時刻，她願意承擔起現在國民黨的責任，會打一場不一樣光明的選戰，讓高雄被撕裂的傷口再度縫合，讓國民黨再度崛起。李眉蓁說，高雄是一座非常年輕且有創意的城市，未來國民黨願意給年輕人這個機會，她會一起與先進同志打拚守住高雄，希望各位同志一起加油。她接著說，在這一個半月中，因為自己知名度比較低，但一起努力一定會再產生一個高雄的政治奇蹟。李眉蓁表示，高雄是非常給年輕人機會的城市，她相信高雄人願意給民進黨20年執政，「也相信高雄人願意給國民黨新世代2年的機會，讓我們做做看，這次要拜託大家新人新希望，也希望高雄人給我一個機會」。李眉蓁是3任的左營楠梓區議員，現年41歲，符合國民黨開出的在地、40歲上下和形象清新等3個條件，加上黨內民調第一而勝出。李眉蓁的父親李榮宗除了當過市議員，還是現任高雄果菜運銷公司總經理，跟韓國瑜有相當交情，因而被歸為「韓家軍」。國民黨副秘書長謝龍介今天下午在記者會上被問及「韓家軍」的問題時表示，「沒有所謂韓家軍，現在都是國民黨軍」。（民視新聞網／綜合報導）#,#0.1513170398324789#,#0#,#6#,#負面
國民黨拍板由高雄市議員李眉蓁代表國民黨參加高市長補選。藍營高層說，黨中央近日密集徵詢不少各行各業高知名度菁英，但大都被婉拒，雖然也有素人有意願，但擔心面對捲土重來的陳其邁，萬一對高雄市政不熟悉、恐在辯論時被對方「問爆」下，只能回過頭從現任藍營高雄民代中尋覓候選人。李眉蓁最後也因為符合黨中央開出的「年輕、在地」兩大要件，再加上學經歷不錯，人和OK，「本身不怯戰」因此出線，將挺身替甫經歷「罷韓」震撼的國民黨扮演救火隊。國民黨秘書長李乾龍今天傍晚正式宣佈徵召李眉蓁參與高雄市長補選，他坦言，已故高雄市議長許崑源的妻子林絲娛曾被藍營列為挑戰民進黨陳其邁的人選，林曾表示願意承擔，但因家人反對，再加上黨中央也不忍心再增加她的負擔，因此之後未再徵詢。李乾龍還說，徵選小組早就決定候選人必須是高雄在地，認同高雄的地方人士，李眉蓁在中間選民、年輕選民的爆發力高，這是主要選擇她參選的原因。李眉蓁今年41歲，他的父親李榮宗是高雄果菜運銷公司總經理，也曾是親民黨籍的前高雄市議員。她在2006年，曾以親民黨的身分，參選高雄市議員但失敗落選，後來擔任前立委國民黨張顯耀的特別助理，張顯耀對助理要求的標準很高，在立院內十分出名，李眉蓁雖是初生之犢，但在地服務績效不錯，頗受張重用，4年後高雄縣市合併，李眉蓁以國民黨身分參選第一屆高雄楠梓區議員，以16511票當選高雄市議員，是當年最年輕的高市議員，2014年她與丈夫楊紘宇結婚，並在2014年和2018年成功連任議員，對高雄相當熟悉，屬於高雄藍營青壯派，目前也擔任國民黨高雄市青工總會長。曾與李眉蓁一起在高雄輔選的藍營立委表示，李眉蓁外型條件不錯，臉上又常帶著笑容，待人客氣，在藍營高雄市議員中，行事作風相對低調，尤其藍營高雄市議員幾乎都是「兩代以上的經營」，但議員家族在地經營久了，外傳心結也是「延續兩代」，私下誰也不服誰。但李眉蓁身段相對較軟，再加上他父親李榮宗與韓國瑜也熟識有交情，她在以眷村外省票為主的左楠選區，本省選票也經營的很不錯，堪稱眷村、本土票通吃。這些應該都是黨中央在檢視「臥虎藏龍」的高雄市藍營議員名單後，最終考量由李眉蓁扮演國民黨「救火隊」的原因。但藍營人士也坦言，相較民進黨候選人陳其邁曾經做過高雄市立委、高雄市代理市長、行政院副院長，眼界格局都已超越地方民代，李眉蓁過去長期在高雄市擔任市議員，專長在地政務，所受過的政務訓練可能不及「老先覺」陳其邁，如何強化問政視野是對李的考驗。此外，高雄市選區遼闊，如果想要爭取藍營選民支持，僅靠李眉蓁一人經營相當吃力，勢必要靠其他選區藍營議員的協助，這絕非李眉蓁一人能夠辦得到，勢必要靠高雄市黨部及黨中央的協助整合，也因此，面對捲土重來、勢在必得的陳其邁，國民黨能在市長補選拿到多少選票，將是黨主席江啟臣另一項嚴格考驗。看更多 CTWANT 文章專業小白臉寄生10女！「10年激省277萬」爽翻 4字軟飯秘訣曝光車廠每日虧損1.25億 市值蒸發千億股票恐暫停上市岳庭13 歲兒敗血症搶救！經紀人曝病況 坦言不希望回台灣#,#4.689117484357741e-05#,#1#,#6#,#負面
[新頭殼newtalk] 高雄市長補選參選登記將在明天(24日)截止，民進黨確定由行政院前副院長陳其邁參選，國民黨則將徵召現任高雄市議員李眉蓁出征，秘書長李乾龍今天(23日)下午出面說明，在可能的幾位人選中，黨中央做過幾波民調、綜合考量下，認為李眉蓁在中間選民、年輕選民的爆發力較高，因此成為最後出線的關鍵。前高雄市長韓國瑜被罷免後，藍營積極尋找人選，從立委、前立委、市議員、醫界大老等都被點名，經國民黨主席江啟臣、秘書長李乾龍徵詢、考量下，決定推41歲的李眉蓁上陣。李乾龍、副秘書長謝龍介、李彥秀下午召開「公布高雄市長補選參選人記者會」，宣布徵召李眉蓁參選。李乾龍指出，在10幾名可能人選中，最後決定徵召李眉蓁參與高雄補選，至於出線理由，李說，過去曾徵詢許多人選，李眉蓁是民調比較超前、比較受社會認同，且是高雄在地年輕人、認同高雄，因此黨中央決定徵召她。謝龍介提及， 在徵選過程中難免有遺珠之憾，在各評比、戰力中，大家都在伯仲之間，不過經綜合考量後，黨中央決定徵召她，希望她能全力以赴，「從北到南的同志也會在選戰中全力以赴支持她」。李彥秀強調，國民黨一定要團結一致，才能面對不到50天選戰，在地議員都很優秀，區域支持度也很高，這一戰一定要整合所有藍軍力量、一同面對選戰，相信李眉蓁可塑性很高、很有戰力，面對陳其邁時，也能看出李眉蓁對高雄的專業。媒體詢問，李眉蓁背景與前高雄市長韓國瑜友好，因此有韓家軍說法？謝龍介說，被徵詢的同志，每個人都與韓國瑜很好，韓國瑜過去的市政成績大家有目共睹，未來也是競選團隊要訴諸主軸，「所以沒有所謂韓家軍，大家都是國民黨軍」。另外，國民黨立院黨團總召林為洲下午出席黨團協商會議前受訪說，李眉蓁擁有議員經驗、學經歷背景也還不錯，「可能會打一場比較不一樣的仗」，國民黨會全力以赴。#,#0.00011958039862547398#,#0#,#7#,#負面
針對國民黨確定徵召高雄市議員李眉蓁出戰高雄市長補選，民進黨高雄市長參選人陳其邁今天(23日)表示，高雄市政需要重開機，讓高雄繼續往前進，未來若有機會，無論辯論或是市政發展方向，期待與李眉蓁進行君子之爭。#記者劉玉秋的報導#國民黨高雄市長補選人選定案，確定徵召高雄市議員李眉蓁出戰。早已辭官投入補選的民進黨高雄市長參選人陳其邁23日在地方選舉行程受訪時，大方恭喜李眉蓁，並強調高雄市因過去1年的紛擾，市政需要重開機，讓高雄繼續往前進，他期待未來若有機會，能就市政與發展議題與李眉蓁君子之爭。陳其邁：『(原音)在市政不管是辯論也好，或是整個市政發展的方向，都期待能夠與李議員有一個君子之爭。因為高雄市不管是在整個國際產業的競爭裡面，非常需要創造更多新的國際大型企業到高雄來投資，也能夠吸引更多年輕人回到家鄉有工作機會，也期待說能夠請李議員多多指教。』而外傳李眉蓁的父親、高雄果菜運銷公司總經理李榮宗並不贊成女兒參選，但李家在左營地區仍然深耕，恐會是民進黨的強敵。陳其邁對此則說，市民期待是一個有經驗、有魄力、有執行力的市長，能夠盡速推動高雄建設的市長才是市民的期待，其他的都是其次的問題。媒體則追問，李眉蓁與前高雄市長韓國瑜關係良好，是否認為韓國瑜會成為李眉蓁的最大輔選員？陳其邁則說，選舉的主角是候選人本身，候選人能否對市長的工作扮演好，這才是市民的期待。原始連結今日最夯新聞流量前3名一腳踩空 國小女主任墜樓身亡僅6天「罷免陳致中」一階達標上任1千天 公司市值飆破9千億#,#0.10692923041029345#,#0#,#6#,#負面
高雄市長將進行補選，藍營推出的候選人李眉蓁，傳出李眉蓁父親和韓國瑜交情要好，被認為是挺韓的韓家軍，不過也傳出推薦李眉蓁的幕後推手是韓國瑜的夫人李佳芬。對此，菜農林佳新直呼，扯到遠在雲林學插花種菜的李佳芬真的有點「扯」！高雄市長補選，國民黨派出的候選人李眉蓁，傳出李眉蓁父親和韓交情好，被認為是挺韓的韓家軍。對此，江啟臣回應，無論是市長還是總統，都代表著國民黨，國民黨員大家都是挺國民黨支持的候選人，大家要把問題聚焦在怎麼讓高雄市更好，這才是補選重點。此外，又傳出推薦李眉蓁的幕後推手是韓國瑜的夫人李佳芬！對此，林佳新在臉書表示，李要選都是中央與地方的考量，親不親韓、要參選都獻予祝福，但都跟韓主導的暗示無關吧？他直言，扯到遠在雲林學插花種菜的李佳芬真的有點「扯」。林佳新認為，能協助的，大家當然不吝嗇，但說到李佳芬主導，真的太看得起這個家庭主婦了。#,#0.4520941135096985#,#0#,#4#,#負面
呂翔禾【台灣醒報記者呂翔禾台北報導】高雄市長補選將由國民黨正妹對上民進黨暖男！國民黨23日中午公布參加高雄市長補選的人選，將由高雄市議員李眉蓁出馬，對上民進黨的陳其邁。原本呼聲很高的不分區立委吳怡玎、「換肝之父」陳肇隆醫生據傳參選意願不高，而市議員李雅靜、黃紹庭等人也未獲得黨中央青睞，副秘書長李彥秀說，幾位候選人民調都在伯仲之間。形象清新、認同高雄國民黨祕書長李乾龍表示，經過黨中央協調後，10位人選中一一徵選，決定徵召李眉蓁參加。李乾龍說，「年輕」、「認同高雄」的人黨都徵詢過，李眉蓁民調比較超前、也獲得較多社會認同，因此才會選擇徵招她。國民黨24日在高雄舉辦中常會時，會請李眉蓁發表競選感言。李眉蓁今年41歲，連任3屆高雄市議員，她的父親是前市議員、現任高雄果菜公司總經理李榮宗，她在議員任內重視教育、幼兒托育、幼兒園、青少年等問題，目前是議會社政委員會第一召集人。副秘書長謝龍介說，黨決定徵召李眉蓁，國民黨從南到北都會支持她。副秘書長李彥秀也說，黨中央做了很多民調，大家的民調都在伯仲之間，很難選擇。國民黨唯有團結一致，才能面對不到50天的補選。原本議長許崑源夫人也在徵詢之列，不過因為家人反對，後來就沒有再詢問。各黨磨刀霍霍有媒體提問，李眉蓁父親與韓國瑜交好，會不會給外界韓家軍的印象？謝龍介回應，徵詢的幾位同志裡都跟韓國瑜關係很好，韓國瑜這1年半在高雄的政績有目共睹，未來希望著重在政績的宣傳，「沒有韓家軍，只有國民黨軍。」原本呼聲甚高的吳怡玎，近日受訪時雖然曾說「誰說我沒有要選？」，卻都沒有積極表態，而吳怡玎父親、前立委吳光訓在議長許崑源的法會上則表示，女兒不可能參加高雄市長補選。據傳國民黨主席江啟臣曾勸進換肝名醫陳肇隆參選，但最後也沒下文。至於民進黨徵召的市長補選參選人陳其邁，連日來已在高雄市展開密集掃街拜票行程，炒熱選情，而且他已於22日公布競選團隊名單，由綠營高雄市議員康裕成擔任執行總幹事、立委管碧玲為副總幹事，前立委參選人吳怡農為青年及國際事務顧問。#,#2.780299463767122e-06#,#2#,#8#,#負面
高雄市長補選明（24）日登記截止，民進黨確定由陳其邁參選，而國民黨則在今日表示，確定徵召高雄市「三連霸」議員李眉蓁出馬。消息出爐後，有韓粉表示力挺，甚至喊出「讓邁再輸一次」。國民黨下午5時召開記者會，由祕書長李乾龍、副祕書長李彥秀及謝龍介出面，正式宣布徵召高雄市議員李眉蓁參與高雄市長補選，同時還指出，考慮到李眉蓁的民調超前，且社會認同度高，經過評估後，決定徵召李眉蓁參選。消息傳出後，有韓粉在臉書社團中《韓國瑜鐵粉後援會》發文力挺，「高雄市市長國民黨徵召李眉蓁參選，為她加油」並高喊「讓邁再輸一次+1！」吸引許多韓粉留言支持。此外，韓粉們也在另一則貼文留言，呼籲國民黨應該要團結，力挺李眉蓁，「不管推誰請大家要團結一致加油吧」、「國民黨要團結」、「敬請大家挺李眉蓁！為了延續路平燈亮水溝通，大家勇敢站出來，為正義出一口氣」、「管誰代表國民黨參選，就要不計成敗戰到底」。#,#0.01167576241163093#,#1#,#3#,#負面
高雄市長補選，繼國民黨公布人選後，民眾黨23日晚間也趕在明天登記期限前公布，由親民黨籍的市議員吳益政加入民眾黨後，代表民眾黨參選。據了解，吳益政雖然先前一直與民眾黨部合作與接洽，先前也在長考是否要參選，甚至一度希望是國民黨若不提人選，可以由他以無黨籍名義參選，期間民眾黨也多方洽詢人選。後來在國民黨公布人選後，吳益政也今天北上到台北完成加入民眾黨手續，民眾黨也臨時召開中央委員會，通過徵召他以黨員身分參選一案。民眾黨稱，吳益政連任5屆市議員，多次獲評問政最認真議員，符合民眾黨設定「在地、優秀」候選人形象。明天上午9時，吳益政也將由黨內立委蔡壁如、張其祿陪同前往鳳山的高雄市選委會登記參選。今年57歲的吳益政，學歷為哥倫比亞大學國際政治經濟碩士，曾經連任5屆高雄市議員，也擔任過正修科技大學、文藻外語學院講師。2018年3月時，吳一度宣布打算以無黨籍身分參與高雄市長選舉，但未能順利整合在野參選人，民調不如韓國瑜，8月時退出市長選戰；9月時吳的市議員連任競選總部成立時，韓國瑜為他競總成立站台，表示要支持泛藍候選人；前內政部長李鴻源則代表親民黨主席宋楚瑜南下為吳站台。#,#1.8950633395853345e-08#,#0#,#5#,#負面
高雄市長補選明（24）日登記截止，民進黨確定由陳其邁參選，國民黨則遲遲未推派人選。今傳國民黨已確定徵召高雄市「三連霸」議員李眉蓁出馬，不過消息一出，網友紛紛問說「她哪位？」41歲的李眉蓁，2006年以親民黨籍參選高雄市議員，未能當選，2010年以國民黨籍，當選縣市合併後的第1屆高雄市議員，選區為第4選舉區（楠梓區、左營區），2014年、2018年兩度連任。李眉蓁父親李榮宗，為前高雄市議員，現任高雄果菜運銷公司總經理，與韓國瑜早有交情。從李眉蓁的臉書可以看出，她一路力挺韓國瑜，2018年市長選舉時，更放下自己的議員選舉，大力替韓國瑜宣傳。消息傳出後，不少網友支持表示「高雄重開機，支持在地人」「李眉蓁出來選，五五波」，但也有人好奇「這又是誰」「她誰？」「你哪位？」「哪一位？」#,#0.07546852716373786#,#1#,#3#,#負面
前高雄市長韓國瑜遭到罷免後，接連有市議員也遭民眾發起罷免，包含高閔琳、陳致中以及黃捷，而就在鳳山第二市場中，罷捷總部從22日開始擺攤，竟與自治會起爭執，雙方當街大吵，引來路過民眾關注。 說沒幾句話就爆發衝突，穿著不同顏色背心的民眾當街吵了起來。 第二市場自治會vs.罷捷團體：「你剛剛拍我都沒有關係，我什麼時候拍你，我哪有拍你，你說我什麼時候拍你，蛤你剛剛就拍我啊。」 仔細看看黃色背心背面寫著斗大的罷捷兩個字，完全是衝著高雄市議員黃捷來的，而綠色背心則是鳳山第二市場的自治會，雙方因為攤位是否占用到道路，互不相讓。 第二市場自治會vs.罷捷團體：「你們對罷韓都沒有這麼關心，同樣的標準，真正罷韓，你們會這麼關心嗎。」 前高雄市長韓國瑜遭到罷免，韓粉也決定反擊，黃捷就是其中被瞄準的對象，罷捷總部從22日開始擺攤，但是在鳳山第二市場竟然遭到驅趕，讓他們相當不滿，不過自治會表示，第二市場不允許政治活動或是任何罷免團體擺攤，好言相勸下，沒想到會起衝突，而這波罷免名單除了黃捷，還有他。 市議員(民)高閔琳vs.市長韓國瑜(2020.5.19)：「我再說一遍，我沒有說過高雄市政府要去太平島挖石油，(謝謝市長，你又再次的說謊)。」 曾在議會上痛批韓國瑜說謊，市議員高閔琳被鎖定，但她心情淡定，說自己尊重選民決定。 市議員(民)高閔琳：「不論是在議會的問政上，還是我們地方的選民服務工作，甚至經常性，而且頻率非常高的舉辦相關的會勘來爭取地方上的建設跟改善，我想這些都是有目共睹，也不擔心要被檢驗。」 另外，高雄市第10選區議員陳致中同樣成為目標，由前鎮、小港區民眾發起罷免，第一階段連署門檻已經達標，朝第二階段邁進，韓國瑜遭到罷免後，韓粉吹起反攻號角，想讓這波罷免活動遍地開花。 今日最夯新聞流量前3名影片曝光！交管員被磚頭狠砸呂秀蓮罵：當家的別污染民主民進黨無法拒絕李婉鈺 揭原因#,#0.10846075735993665#,#13#,#8#,#正面
最近一款App的特效可以將照片的性別轉換，吸引許多人好奇自己「性轉」後的模樣，在社群網站曬照掀起一波熱潮。有網友突發奇想把人氣正夯的吳怡農照片拿來性轉，結果轉換之後讓網友大為驚豔，直呼「太正了吧」「有迪麗熱巴的感覺」。最近一款App的特效可以將照片的性別轉換，吸引許多人好奇自己「性轉」後的模樣，在社群網站曬照掀起一波熱潮。有網友突發奇想把人氣正夯的吳怡農照片拿來性轉，結果轉換之後讓網友大為驚豔，直呼「太正了吧」「有迪麗熱巴的感覺」。一名網友昨（22日）在《Dcard》貼文「農農怎麼可以這麼正…」，文中表示，最近看朋友們都在玩Face App，就拿了吳怡農的照片來性轉⋯沒想到成果讓她超心動，「農農讓我又一次戀愛了。」從吳怡農性轉的比對照片可看出，不但眼睛被放大，皮膚也轉為白皙，還P上了一頭旁分的長直髮，看起來就是一位笑容甜美的正妹。網友看到照片後，紛紛表示，「太正了吧」「農農女裝都比我好看」「我的天～男女都是天菜」「比畫完妝的自己還正好多」「有迪麗熱巴的感覺」。原PO也在留言處貼出其他政治人物的性轉照，像是蔣萬安性轉照被網友說好像湯唯，原PO則是認為「萬安也蠻可愛的」，副總統賴清德的性轉照「怎麼有點混血fu？」，韓國瑜的性轉照則是不小心「弄得像阿姨」，網友也紛紛曬出自己的作品蓋樓。#,#0.043310456953032705#,#0#,#5#,#負面
[新頭殼newtalk] 高雄市長補選暖男與正妹之戰正式開打！民進黨高雄市長候選人陳其邁今(23)日下午在六龜參訪茶農，被問到國民黨確定由市議員李眉蓁出馬時表示，候選人是否能夠扮演好市政或經濟及建設推手的角色，才是市民的期待，希望能夠與她有一個君子之爭。陳其邁先恭喜李眉蓁，隨後表示高雄市過去一年的紛擾，需要重開機而且新的市長能夠有新的施政，讓高雄繼續往前進，所以我們期待說假如有機會的話，在市政不管是辯論也好，或是整個市政發展的方向，都期待能夠與李議員有一個君子之爭。他說，因為高雄市不管是在整個國際產業的競爭裡面，非常需要創造更多新的國際大型企業到高雄來投資，也能夠吸引更多年輕人回到家鄉有工作機會，我們的傳統產業也面臨轉型，所以怎麼樣把高雄打造成為一個包括以橋頭科學園區為中心的高雄科技走廊以及一個高階的製造中心，讓我們的傳統產業生存，這些都是非常嚴肅而且對高雄非常重要的課題，所以也期待說能夠請李議員多多指教。記者提問到，李眉蓁的父親受訪談到其實不太贊成女兒出來選，他們的家族其實在左營地區也有深耕，對於這樣的實力，會不會覺得她是個強敵？陳其邁表示，市民期待是一個有經驗、有魄力、有執行力的市長，能夠盡速推動高雄的建設，所以怎麼樣能夠把市長的角色做好，實實在在能夠推動這些市政的市長是市民的期待，其他都是其次的問題。記者再追問李眉蓁跟韓國瑜感情滿好的，如果找韓國瑜來幫她做最大的輔選員有何看法，陳其邁說，「我想最重要的還是候選人的本身，是不是對於市長的工作能夠扮演好市政或是整個經濟以及建設推手的角色，這個才是市民的期待，我想主角還是候選人本身。陳其邁：我想最重要的還是候選人的本身，是不是對於市長的工作能夠扮演好市政或是整個經濟以及建設推手的角色，這個才是市民的期待，我想主角還是候選人本身。」記者最後問及，之前政黨協商說黃捷要進入團隊，目前的進度或是結果如何？陳其邁說，基進黨跟時代力量的全力支持，我們都非常感謝，但選舉還是會有很多的分工，譬如說後援會或是在青年政策、文化政策，包括黃捷議員在內，他們其實對市政都有非常好的一些看法。他說，「之前跟黃議員，她也給我很多寶貴的意見，所以我想不管是基進黨跟時代力量的支持也好，或是我們在很多的政策領域或選舉的合作，這個已經在過去有很多來來回回的討論。我相信在選舉的過程裡面，不管是其他友黨，我們一方面感謝他們全力的支持，另外一方面我們也會在很多的政策跟整個選務上充分地合作。」#,#3.96133519431352e-07#,#0#,#7#,#負面
高雄市前市長韓國瑜被罷免後，從新北市府借將的高雄市前副市長李四川去向成為外界焦點。新北市長侯友宜23日在議會備詢時表示，自己常跟李四川通電話，李四川也說樂於到新北市指導，不過新北市3位副市長都還在位子上，李四川也有自己的意願、不一定會願意。李四川在前台北縣長周錫瑋任內出任台北縣副縣長，2010年台北縣改制為新北市後，首任市長朱立倫繼續延攬他任副市長，直到韓國瑜2018年當選為高雄市長後，才向朱立倫借將。不過如今韓團隊解散後，李四川表示，未來會把所有時間都留給妻小，目前也已從高雄搬回新北市。對於議員質詢時問到，是否將李四川請回新北服務？侯友宜表示，「我很想啊！但目前為止新北市府團隊每個人都很認真，3位副市長也都還在位子上，李四川有自己的意願、不一定願意。」侯友宜說，其實他常跟李四川通電話，也歡迎很多人才給予新北市指教、意見，至於是否邀約李四川回鍋新北市任職，「現在3個副市長都還在這裡，不然哪天李四川回來當市長都願意！」#,#0.030959226028304587#,#0#,#4#,#負面
